	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19
HEYL	0.002987021808424018	0.0028403047876909694	0.0	0.0016308622952972167	0.0025761141718122914	0.002919403345953994	0.00041373263458917303	0.0008212116436906501	0.003274834051030394	0.0012127454473880915	0.0011411736459910388	0.0010446976767763813	0.002592620623288573	0.0017411832272182636	0.0006398317234231078	0.0	0.0002731856453284867	0.0011579510815493085	0.0032558358332702695
PPIE	0.002361934070511494	0.0031574579973587926	0.00028605631654483985	0.0	0.0007306297337423184	0.0018261094985692473	1.3392272700464972e-05	0.0006493696060971648	0.00536886308988584	0.0020690329362173026	0.0027085863647434384	0.002288126430300403	0.0014113719062800786	0.003462090652861952	0.001193131066375121	0.0001834134061555142	0.0003682144181439267	0.0014608802055980853	0.002271140768276538
TRIT1	0.0028875976863684052	0.0026511223810415444	0.0011905833250553644	0.0031707327292299337	0.0008625219395274454	0.00187592190432824	0.0	0.000964782803704051	0.0008441630720634298	0.0	0.003400202896330816	0.0	0.001244446637528319	0.0023865591351339916	0.0015320688214278111	0.0	0.002852535576522558	0.002938399939330278	0.0022205630173463475
MFSD2A	0.0012298317984350301	0.00023169023362964335	0.00151637986787417	0.0027280960551741983	0.0013866103147008079	0.0035244764289777404	0.0	0.003642013636694899	0.0	0.0011643850610816029	0.0	0.0022516800156516174	0.004840690495267206	0.0015426303847205674	0.00035447788955993484	0.0003107185298520176	0.002067867422135974	0.0028116674529969203	0.0029120972787207585
KDM4A	0.0015806906822167005	0.0034613812405601047	0.0	0.002313549654574388	0.001820911909244586	0.0022830825988600202	0.0007610243710358723	0.0013280970628812441	0.00234419377767787	0.00031496085300557067	0.0004306944664693509	0.0016781083572793157	0.0011273566255119332	0.002453089523164821	0.003827055956238697	0.0	0.001526827276595319	0.0	0.004790581920247712
DPH2	0.001395666844092842	0.0006934958869799819	0.003185162754108693	0.0	0.0014541155145014065	0.0013580341428647792	0.006501478497385007	0.003268035896156569	0.0015867006909476933	0.0011175495800992013	0.00010760931854679524	0.002035895267263008	0.002641255741522873	0.0	0.00013045601802447044	0.0	0.0011601538623939266	0.003797802910868153	0.0009045906290102703
BEST4	0.0	0.0006619163141049064	0.004071920045353336	0.0016174461104848511	0.002897860402258861	0.0038885659388270947	0.0030364322721149486	0.0014734770908075277	0.0	0.0	0.00025603126963117144	0.0015308292291995856	0.0026402523762381947	0.0013012359225005057	6.198824834742131e-05	0.0014321822388037766	0.001662548409180782	0.003777754751529404	0.0006496384040815687
UROD	0.0019905943144256292	0.0035777293831021884	0.0	0.00168415182384646	0.0007209948327753714	0.00016330498497872976	0.0	0.003005312217381284	0.0041613497368254565	0.00021862126251347258	0.0009053564549050955	0.002061965103302791	0.0026259817050977192	0.0016957090931620465	0.0031823877794950575	0.0001568027692499686	0.0034156473019100685	0.0	0.002555592550598035
CYP4B1	0.0005941025974356762	0.0	0.004676118689397625	0.00239300082916804	0.003100738625672833	0.0016587324814790454	0.0010849488785858814	0.00010679944536991292	0.00029184767089948926	0.0015350642152044656	0.0004433451425047956	0.002159310152932489	0.000751829339103953	0.004122692116207726	0.0	0.0008932252261433255	0.00444481030215557	0.0016506250616253498	0.0016729507329306544
USP24	0.003839638089818744	0.0034682378098845525	0.0	0.0016254103431201502	0.0022416522372079055	0.002720517840571958	0.002381887666621832	0.0007299233283575844	0.00037927572891220565	0.0010739350964565975	0.0017130542236480483	0.00022823100734049813	0.0014871467013130748	0.0016437492639510662	0.0012143514316513438	0.0014966021807983156	0.0014280017174631366	0.0004351787397374385	0.0013667209100744584
